DEBUG 2023-10-17 19:45:33,955 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\sqlparse\cli.py first seen with mtime 1697164780.457917
DEBUG 2023-10-17 19:45:33,955 autoreload 379 File D:\python\Lib\nturl2path.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,956 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\colorama\__init__.py first seen with mtime 1657871968.6455889
DEBUG 2023-10-17 19:45:33,956 autoreload 379 File D:\python\Lib\reprlib.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,956 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\pytz\exceptions.py first seen with mtime 1697164780.5426095
DEBUG 2023-10-17 19:45:33,956 autoreload 379 File D:\python\Lib\sre_parse.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,957 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1697503987.685932
DEBUG 2023-10-17 19:45:33,957 autoreload 379 File D:\python\Lib\weakref.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,958 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1697503991.18679
DEBUG 2023-10-17 19:45:33,959 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1697503991.1685598
DEBUG 2023-10-17 19:45:33,960 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\db\utils.py first seen with mtime 1697503995.7448354
DEBUG 2023-10-17 19:45:33,960 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1697503996.0106442
DEBUG 2023-10-17 19:45:33,960 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\colorama\initialise.py first seen with mtime 1657871968.6479833
DEBUG 2023-10-17 19:45:33,961 autoreload 379 File D:\python\Lib\keyword.py first seen with mtime 1553520082.0
DEBUG 2023-10-17 19:45:33,961 autoreload 379 File D:\python\Lib\datetime.py first seen with mtime 1553520080.0
